"JOIN_NO","EXT_KEY"
"1277220","KEY"
"1277265","KEY"
"1277312","KEY"
"1277413","KEY"
"1277454","KEY"
"1277478","KEY"
"1277561","KEY"
"1277653","KEY"
"1277665","KEY"
"1277800","KEY"
"1277905","KEY"
"1278583","KEY"
"1278691","KEY"
"1278698","KEY"
"1278717","KEY"
"1278801","KEY"
"1279114","KEY"
"1279901","KEY"
"1280140","KEY"
"1280162","KEY"
"1280174","KEY"
"1280406","KEY"
"1280756","KEY"
"1280999","KEY"
"1281088","SPEZ"
"1281174","KEY"
"1281226","KEY"
"1281230","KEY"
"1281581","KEY"
"1282674","GROS"
"1282687","KEY"
"1282690","KEY"
"1282738","KEY"
"1282916","KEY"
"1283213","KEY"
"1283567","KEY"
"1283684","KEY"
"1283686","KEY"
"1284153","KEY"
"1284330","KEY"
"1284694","KEY"
"1284703","KEY"
"1284716","KEY"
"1284739","KEY"
"1284751","KEY"
"1285365","KEY"
"1285534","KEY"
"1285770","KEY"
"1285782","KEY"
"1286012","KEY"
"1286118","KEY"
"1286415","KEY"
"1286836","KEY"
"1286965","KEY"
"1287033","KEY"
"1287068","KEY"
"1287271","KEY"
"1287899","KEY"
"1287913","KEY"
"1287965","KEY"
"1287969","KEY"
"1288778","KEY"
"1289119","KEY"
"1289169","KEY"
"1289615","SPEZ"
"1289976","KEY"
"1290629","KEY"
"1290825","SPEZ"
"1291343","KEY"
"1291614","KEY"
"1292333","KEY"
"129239","KEY"
"1292917","KEY"
"1293694","KEY"
"1294022","KEY"
"1294028","GKM"
"1294207","KEY"
"129431","KEY"
"1294848","KEY"
"129597","KEY"
"129615","KEY"
"1296188","KEY"
"129619","KEY"
"1296402","SPEZ"
"1296894",""
"1297021","KEY"
"1297204","SPEZ"
"1297794","KEY"
"1297841","KEY"
"129835","KEY"
"1298497","KEY"
"1298765","KEY"
"1299547","KEY"
"1300158","KEY"
"1300229","KEY"
"1300232","SPEZ"
"1300298","KEY"
"1300323","KEY"
"1300486","KEY"
"1301369","KEY"
"1301552","KEY"
"1301577","KEY"
"1301800","KEY"
"1301822","KEY"
"1302029","KEY"
"1302240","KEY"
"1302594","KEY"
"1302605","KEY"
"1303287","KEY"
"1304519","KEY"
"1305741","KEY"
"1305742","KEY"
"1306844","KEY"
"1307028","KEY"
"1307459","KEY"
"1308703","KEY"
"1308779","KEY"
"1308932","KEY"
"1308958","SPEZ"
"1309194","KEY"
"1310517","KEY"
"1310612","KEY"
"1310668","GROS"
"1310676","KEY"
"1311130","GKM"
"1311152","KEY"
"1311188","KEY"
"1312247","KEY"
"1312938","KEY"
"1312940","KEY"
"1313202","KEY"
"1313274","KEY"
"1313307","KEY"
"1314060","KEY"
"1314078","KEY"
"1314358","KEY"
"1314369","KEY"
"1316433","KEY"
"1316864","KEY"
"1317329","GROS"
"1317362","SPEZ"
"1317607","KEY"
"1317634","KEY"
"1318815","KEY"
"1319383","KEY"
"1321514","KEY"
"1321604","KEY"
"1322254","KEY"
"1322277","KEY"
"1322354","KEY"
"1323367","KEY"
"132350","KEY"
"1323555","KEY"
"1324246","SPEZ"
"1324657","KEY"
"1325524","KEY"
"1325971","KEY"
"1327511","KEY"
"1327560","KEY"
"1327860","KEY"
"1328428","KEY"
"1329099","KEY"
"1329740","KEY"
"1329741","KEY"
"1329760","KEY"
"1329959","KEY"
"1329960","KEY"
"1330007","KEY"
"1330625","KEY"
"1330778","KEY"
"1332137","KEY"
"1332458","KEY"
"1332517","KEY"
"1332904","KEY"
"1333705","KEY"
"1333888","KEY"
"1333911","KEY"
"1334125","KEY"
"1334137","KEY"
"1335390","KEY"
"1335621","KEY"
"1336020","KEY"
"1336400","KEY"
"1336401","KEY"
"1336931","KEY"
"1337331","KEY"
"1337570",""
"1337669","KEY"
"1337670","KEY"
"1337865","KEY"
"1337891","KEY"
"1338263","KEY"
"1339608","SPEZ"
"1341762","GKM"
"1341925","KEY"
"1342303","KEY"
"1342586","KEY"
"1342588","KEY"
"1342706","KEY"
"1343854","KEY"
"1343910","KEY"
"1345156","KEY"
"1345288","KEY"
"1345360","KEY"
"1345477","KEY"
"1346951","KEY"
"1346952","KEY"
"1347729","KEY"
"1348161","SPEZ"
"1348601","KEY"
"1348705","KEY"
"1348813","KEY"
"1348848","KEY"
"1348914","KEY"
"1349348","KEY"
"1350371","SPEZ"
"1350924","GROS"
"1351493","KEY"
"1351842","GKM"
"1352312","KEY"
"1352590","KEY"
"1353069","KEY"
"1353551","KEY"
"1353574","KEY"
"1354277","KEY"
"1354403","KEY"
"1354493","KEY"
"1354826","SPEZ"
"1354917","KEY"
"1354979","KEY"
"1355001","KEY"
"1355054","KEY"
"1355213","KEY"
"1355427","KEY"
"1355465","KEY"
"1355487","KEY"
"1356211","KEY"
"1356593","KEY"
"1357026","KEY"
"1357075","KEY"
"1357136","KEY"
"1357408","KEY"
"1357659","KEY"
"1357701","KEY"
"1359651","KEY"
"1360901","KEY"
"1361383","KEY"
"1361604","KEY"
"1361650","KEY"
"1363081","KEY"
"1363137","KEY"
"1363168","KEY"
"1364156","KEY"
"1364286","KEY"
"1364316","GROS"
"1364341","GKM"
"1364425","KEY"
"1364445","KEY"
"1364473","KEY"
"1365037","KEY"
"1365092","GROS"
"1365101","KEY"
"1365113","KEY"
"1365541","GKM"
"1365647","KEY"
"1365666","KEY"
"1365776","KEY"
"1366416","KEY"
"1366746","KEY"
"1366778","KEY"
"1366788","KEY"
"1366843","KEY"
"1366870","KEY"
"1367152","KEY"
"1367224","KEY"
"1367429","KEY"
"1367433","KEY"
"1367480","GROS"
"136758","KEY"
"1367675","KEY"
"1367711","KEY"
"1367856","KEY"
"1367922","KEY"
"1367929","KEY"
"1367951","KEY"
"1367988","GROS"
"1368081","KEY"
"1368202","KEY"
"1368216","KEY"
"1368221","KEY"
"1368234","KEY"
"1368260","GKM"
"1368264","KEY"
"1368280","KEY"
"1368290",""
"1368398","GROS"
"1368428","KEY"
"1368489","KEY"
"1368538","GKM"
"1368551","KEY"
"1368570","KEY"
"1368642","GKM"
"1368655","KEY"
"1368659","KEY"
"1368689","KEY"
"1368742","KEY"
"1368774","KEY"
"1368905","KEY"
"1368908","KEY"
"1368954","KEY"
"1368972","KEY"
"1369061","KEY"
"1369082","KEY"
"1369172","KEY"
"1369269","KEY"
"1369274","KEY"
"1369483","KEY"
"1369576","KEY"
"1369613","SPEZ"
"1369790","KEY"
"1369881","KEY"
"1369915","KEY"
"1369916","KEY"
"136994","KEY"
"1369960","GKM"
"1370224","SPEZ"
"1370318","KEY"
"1370334","KEY"
"1370358","KEY"
"1370363","KEY"
"1370446","KEY"
"1370462","KEY"
"1370526","KEY"
"1370582","KEY"
"1370599","KEY"
"1370617","KEY"
"1370691","KEY"
"1370703","KEY"
"1370707","KEY"
"1370725","KEY"
"1370780","KEY"
"1370787","KEY"
"1370792","SPEZ"
"1370854","KEY"
"1371096","GROS"
"1371134","KEY"
"1371139","KEY"
"1371319","KEY"
"1371340","KEY"
"1371369","KEY"
"1371436","KEY"
"1371474","KEY"
"1371503","KEY"
"1371602","KEY"
"1371682","KEY"
"1371830","KEY"
"1371864","KEY"
"1371880","KEY"
"1371881","KEY"
"1371976","KEY"
"1372020","KEY"
"1372111","KEY"
"1372112","KEY"
"1372210","KEY"
"1372247","KEY"
"1372252","KEY"
"1372260","KEY"
"1372265","KEY"
"1372270","KEY"
"1372306","KEY"
"1372309","KEY"
"1372361","KEY"
"1372386","KEY"
"1372426","KEY"
"1372433","KEY"
"1372449","KEY"
"1372507","KEY"
"1372611","KEY"
"1372621",""
"1372671","KEY"
"1372683","KEY"
"1372720","KEY"
"1372734","GROS"
"1372803","KEY"
"1372851","KEY"
"1372898","KEY"
"1373010","KEY"
"1373126","KEY"
"1373213","KEY"
"1373230","KEY"
"137324","GKM"
"1373418","KEY"
"1373456","KEY"
"1373529","KEY"
"1373571","KEY"
"1373580","KEY"
"1373584","KEY"
"1373599","KEY"
"1373607","KEY"
"1373614","KEY"
"1373673","SPEZ"
"1373677","KEY"
"1373689","KEY"
"1373700","KEY"
"1373715","KEY"
"1373732","KEY"
"1373796","KEY"
"1373816","KEY"
"1374002","KEY"
"1374054","KEY"
"1374204","KEY"
"1374234","KEY"
"1374416","KEY"
"1374425","KEY"
"1374487","GROS"
"1374518","KEY"
"1374561","KEY"
"1374678","KEY"
"1374679","KEY"
"1374710","KEY"
"1374790","KEY"
"1374838","KEY"
"1374845","KEY"
"1374846","KEY"
"1374864","KEY"
"1374995","KEY"
"1375023","KEY"
"1375031","GROS"
"1375039","KEY"
"1375047","KEY"
"1375048","KEY"
"1375069","KEY"
"1375164","KEY"
"1375235","KEY"
"1375249","KEY"
"1375252","KEY"
"1375303","GKM"
"1375353","KEY"
"1375368","GKM"
"1375389","KEY"
"1375517","KEY"
"1375560","KEY"
"1375567","KEY"
"1375659","KEY"
"1375687","KEY"
"1375733","KEY"
"1375824","KEY"
"1375838","KEY"
"137584","KEY"
"1375884","KEY"
"1376003","KEY"
"1376017","KEY"
"1376146","KEY"
"1376182","KEY"
"1376210","KEY"
"1376272","KEY"
"1376296","KEY"
"1376298","KEY"
"1376306","KEY"
"1376357","KEY"
"1376390","KEY"
"1376550","KEY"
"1376576","KEY"
"1376605","KEY"
"1376614","KEY"
"1376779","KEY"
"1376835","GROS"
"1376941","KEY"
"1377004","KEY"
"1377025","KEY"
"1377096","KEY"
"1377101","KEY"
"1377217","KEY"
"1377372","KEY"
"1377387","KEY"
"1377478","KEY"
"1377496","KEY"
"1377504","KEY"
"1377551","KEY"
"1377573","KEY"
"137765","KEY"
"1377685","KEY"
"1377778","KEY"
"1377789","KEY"
"1377790","KEY"
"1377813","KEY"
"1377855","KEY"
"1377867","KEY"
"1377878","KEY"
"1377884","GROS"
"1377968","KEY"
"1378025","KEY"
"1378068","KEY"
"1378087","KEY"
"1378223","KEY"
"1378244","KEY"
"1378324","KEY"
"1378426","KEY"
"1378441","KEY"
"1378466","KEY"
"1378483","KEY"
"1378506","KEY"
"1378511","GKM"
"1378539","KEY"
"1378591","KEY"
"1378609","KEY"
"1378640","KEY"
"1378668","KEY"
"1378694","KEY"
"1378733","KEY"
"1378749","KEY"
"1378772","KEY"
"1378845","KEY"
"1378895","KEY"
"1378994","KEY"
"1379090","KEY"
"1379126","KEY"
"1379143","KEY"
"1379179","KEY"
"1379183","KEY"
"1379244","KEY"
"1379333","KEY"
"1379341","KEY"
"1379352","KEY"
"1379381","KEY"
"1379433","KEY"
"1379579","KEY"
"1379589","KEY"
"1379651","SPEZ"
"1379652","KEY"
"1379757","KEY"
"1379802","KEY"
"1379813","KEY"
"1379819","KEY"
"1379841","KEY"
"1379848","KEY"
"1379857","KEY"
"1379870","KEY"
"1379890","KEY"
"1379945","KEY"
"1379957","GROS"
"1379984","KEY"
"1379989","KEY"
"1380004","KEY"
"1380055","KEY"
"1380070","KEY"
"1380073","KEY"
"1380119","KEY"
"1380166","KEY"
"1380167","KEY"
"1380177","KEY"
"1380256","KEY"
"1380346","KEY"
"1380350","KEY"
"1380468","KEY"
"1380485","KEY"
"1380605","KEY"
"1380618","KEY"
"1380626","KEY"
"1380629","KEY"
"1380711","KEY"
"1380726","KEY"
"1380764","KEY"
"1380766","KEY"
"1380781","KEY"
"1380814","KEY"
"1380821","KEY"
"1380872","KEY"
"1380913","KEY"
"1380993","KEY"
"1381035","KEY"
"1381053","KEY"
"1381288","KEY"
"1381301","KEY"
"1381326","KEY"
"1381328","SPEZ"
"1381335","KEY"
"1381339","KEY"
"1381425","KEY"
"1381463","KEY"
"1381589","KEY"
"1381728","KEY"
"1381756","KEY"
"1381864","KEY"
"1381980","KEY"
"1381989","KEY"
"1382021","KEY"
"1382040","KEY"
"1382041","KEY"
"1382044","KEY"
"1382136","SPEZ"
"1382238","KEY"
"1382323","GKM"
"1382445","KEY"
"1382471","KEY"
"1382472","KEY"
"1382473","KEY"
"1382488","KEY"
"1382619","KEY"
"1382656","KEY"
"1383061","KEY"
"1383135","KEY"
"1383276","KEY"
"1383360","KEY"
"1383481","KEY"
"1383559","KEY"
"1383563","KEY"
"1383622","KEY"
"1383623","KEY"
"1383665","KEY"
"1383696","KEY"
"1383721","KEY"
"1383743","KEY"
"1383803","KEY"
"1383813","KEY"
"1383857","KEY"
"1383874","KEY"
"1383923","KEY"
"1383943","KEY"
"1384125","KEY"
"1384156","KEY"
"1384198","KEY"
"1384301","KEY"
"1384363","KEY"
"1384500","KEY"
"1384519","KEY"
"1384522","KEY"
"1384576","KEY"
"1384581","KEY"
"1384693","KEY"
"1384701","KEY"
"1384830","KEY"
"1384930","KEY"
"1384939","KEY"
"1384968","KEY"
"1384985","KEY"
